세부 페이지,RQ-ID,설계ID,기능이름,1Depth,2Depth,3Depth,기능설명,입력,예외처리
,,FS-CHAT-HIST-03,세션 검색(질문/제목/도메인 기준),,,검색/필터,"- 세션 제목, 최근 질문 내용, 도메인 태그로 검색/필터할 수 있다.
 - 기간(예: 지난 30일) 필터도 제공한다.","- 검색 키워드
 - 도메인 필터
 - 기간 필터",- 검색 결과가 없으면 “검색 결과가 없습니다” 메시지 표시.
채팅 히스토리 상세,,FS-CHAT-HIST-04,과거 세션 재열람,,,세션 상세,- 목록에서 세션을 클릭하면 해당 채팅방으로 이동한다.,"- 선택한 메시지 텍스트
- 사용자ID
- 세션ID
- 세션 내 메시지 리스트",- 세션ID가 존재하지 않으면 목록 화면으로 리다이렉트하고 오류 로그를 남기며 기존 세션 화면 유지 + 에러 토스트 제공.
채팅 히스토리 관리,,FS-CHAT-HIST-06,세션 삭제/보관,,,삭제/보관,"- 사용자별 세션은 최대 30개까지 저장하며, 30개를 초과하면 가장 오래된 세션부터 UI 목록에서 제거한다.
단, 삭제된 세션은 관리자·시스템 통계용으로는 DB에 남아 있다.
- 사용자 1인당 세션 최대 300개(백엔드 DB 기준)
- 사용자가 더 이상 필요 없는 세션을 삭제할 수 있다.","- 사용자 선택 세션ID 리스트
 - 삭제 플래그","- 회사 정책상 삭제가 아니라 “비표시”만 허용하는 경우, 논리 삭제 플래그로만 처리하고 실제 데이터는 유지한다."
채팅 히스토리 로딩,,FS-CHAT-HIST-07,채팅 내용 내보내기(텍스트/파일),,,로딩,"- 초기 로딩 시 최근 50개 메시지만 가져오고, 위로 스크롤 시 이전 메시지를 추가 로딩(무한 스크롤)한다.","- 세션ID
 - 내보내기 형식(TXT/MD 등)",- 내보내기 생성 중 오류 시 “내보내기에 실패했습니다” 안내 및 재시도 버튼 제공.
채팅 히스토리 보호,,FS-CHAT-HIST-08,민감 세션 보호 표시/비공개 처리,,,민감 세션 표시,"- 특정 도메인(신고/민감보안) 세션은 목록에서 별도 아이콘으로 표시한다.
- 해당 세션은 본인/지정 권한자만 열람 가능하게 제한한다.","- 세션 메타데이터(도메인, 민감도 플래그)
 - 사용자 권한",- 권한 없는 사용자가 접근 시 “열람 권한이 없습니다” 안내 후 목록으로 이동.
채팅 피드백 팝업,,FS-CHAT-FB-01,N번째 메시지 이후 피드백 팝업 트리거,,피드백,팝업 트리거,- 동일 세션에서 20번째 질문에 도달하면 평가 팝업을 띄운다.,"- 세션 내 질문 카운트
 - 피드백 요청 기준 값(N)",- 팝업 로딩 실패 시 피드백 없이 계속 채팅 가능하게 처리하고 로그만 남긴다.
,,FS-CHAT-FB-02,피드백 형식(좋아요/별점/단문 텍스트) 선택,,,피드백 입력,"- 👍/👎 또는 5점 척도 선택 기능을 제공한다.
- 선택적으로 짧은 코멘트를 적을 수 있는 텍스트 필드를 포함한다.","- 사용자가 선택한 점수/버튼
 - 코멘트 텍스트(선택)","- 점수 없이 코멘트만 입력하는 것은 허용 or 막을지 정책에 따라 제어.
 - 유효하지 않은 점수 값은 서버에서 거부한다."
,,FS-CHAT-FB-03,피드백 강제 여부 제어(Soft vs Hard),,,강제 정책,- 피드백을 완료하지 않아도 “건너뛰기” 선택 시 바로 채팅 계속 가능하다.,,- 설정값이 없거나 잘못된 경우 기본 Soft 모드로 동작한다.
채팅 피드백 수집,,FS-CHAT-FB-04,피드백 저장 API 호출,,,피드백 저장,"- 세션ID, 메시지ID, 점수, 코멘트를 서버에 저장한다.
- 이후 FAQ 선정/품질 분석에서 활용한다.","- 세션ID
 - 피드백 점수/코멘트
 - 질문/응답 메타데이터",- 저장 실패 시 사용자에게 재요청하지 않고 조용히 실패 로그만 기록한다.
채팅 피드백 통계,,FS-CHAT-FB-07,도메인별/부서별 피드백 점수 통계,관리자,피드백 통계,점수 분포,"- 도메인(교육/보안/일반)과 부서별로 평균 점수, 응답 수를 집계한다.
- 낮은 점수를 많이 받은 영역을 시각화한다.","- 피드백 테이블
 - 부서/도메인 정보",- 데이터가 부족한 구간은 “N건 미만”으로 묶어서 표시하거나 비표시할 수 있다.
,,FS-CHAT-FB-08,피드백 기반 FAQ 후보 가중치 반영,,,FAQ 가중치,"- 피드백이 좋은 질문/응답은 FAQ 후보 점수에 가중치를 더한다.
- 피드백이 나쁜 질문은 후보에서 제외하거나 점수를 낮춘다.","- 질문 로그 + 피드백 점수
- FAQ 후보 점수 계산 로직",- 가중치 설정이 과도하게 큰 경우 기본 값으로 리셋하고 관리자에게 경고 메시지.
FAQ 관리 UI,,FS-ADMIN-FAQ-UI-01,자동 생성 FAQ 승인,,FAQ 관리,FAQ 등록 승인,- ai가 생성한 faq는 관리자 승인 후 등록된다.,,
,,FS-ADMIN-FAQ-UI-02,FAQ 후보 리스트 UI,,,후보 리스트,"- 배치에서 선정된 FAQ 후보를 리스트로 보여준다.
- 질문, 도메인, 노출 여부, 점수 등을 컬럼으로 표시한다.",- FAQ 후보 테이블 조회 API 응답,- 데이터가 없으면 “현재 추천된 FAQ 후보가 없습니다” 안내만 표시.
,,FS-ADMIN-FAQ-UI-03,후보에서 실제 FAQ로 승격,,,승격 버튼,"- 후보 리스트에서 특정 항목을 선택해 “FAQ로 설정” 버튼을 누르면 노출용 FAQ 테이블에 저장한다.
- 최대 노출 개수(예: 4개)를 초과할 경우 경고를 띄운다.","- 선택한 질문ID
- 최대 노출 개수 설정",- 초과 시 저장을 막고 “최대 N개까지 설정 가능합니다” 안내.
,,FS-ADMIN-FAQ-UI-04,FAQ 수동 등록(질문/답변 직접 입력),,,수동 등록,"- 관리자가 직접 질문/답변, 도메인 태그를 입력해 FAQ를 등록할 수 있다.
- 자동 선정과 무관하게 항상 노출 대상으로 취급한다(우선순위).","- 질문 텍스트
- 답변 텍스트
- 도메인 선택","- 필수 필드 미입력 시 저장 불가 처리.
 - 도메인 미선택 시 저장 막고 안내."
,,FS-ADMIN-FAQ-UI-05,FAQ 수정/비활성화,,,수정/비활성,"- 기존 FAQ의 질문/답변/도메인을 수정할 수 있다.
- 특정 FAQ를 비활성화해 새 채팅 화면에서 숨길 수 있다.","- FAQID
- 수정된 질문/답변/도메인
- 활성/비활성 플래그",- 비활성화된 항목은 자동 선정 배치에서도 제외될 수 있도록 플래그를 동기화한다.
,,FS-ADMIN-FAQ-UI-06,FAQ 우선순위/노출 순서 조정,,,노출 순서,"- 드래그 앤 드롭 또는 순서 번호 입력으로 FAQ 노출 순서를 조정할 수 있다.
- 새 채팅 화면에서는 이 순서대로 상단 4개를 노출한다.","- FAQID
- 순서 값(정수)",- 동일 순서 값이 들어오면 서버에서 재정렬 규칙(정렬 기준)으로 자동 정리.
,,FS-ADMIN-FAQ-UI-08,도메인별 FAQ 탭/필터,,,도메인 필터,"- 교육/보안/일반 등 도메인별로 FAQ를 필터링해 관리할 수 있다.
- 각 탭에서 해당 도메인의 FAQ만 보이도록 한다.",- 도메인 코드 필터,- 존재하지 않는 도메인 값은 무시하고 기본 전체 탭으로 폴백.
,,FS-ADMIN-FAQ-UI-09,FAQ 변경 이력 관리,,,변경 이력,"- 어떤 관리자가 언제 FAQ를 추가/수정/삭제했는지 이력을 남긴다.
- 롤백 대상을 찾을 수 있도록 이전 버전 내용을 함께 저장할 수 있다(필요 시).","- 관리자ID
- 변경 유형(add/update/delete)
- 변경 전/후 내용","- 이력 조회 실패 시 FAQ 동작에는 영향 없도록 하고, 이력 화면에만 오류 메시지 표시."
관리자 퀴즈 대시보드,,FS-ADMIN-QUIZ-STAT-01,퀴즈 응시 현황 요약 카드,,퀴즈 통계,요약 카드,"- 전체 퀴즈 응시 건수, 평균 점수, 응시율(=이수율), 응시자 수 등을 카드로 요약한다.
- 기간/교육 필터에 따라 값이 바뀐다.","- 퀴즈 로그 통계 데이터
 - 필터 값(기간, 교육ID)",- 데이터 없을 시 0/“N/A”로 표시하고 “데이터 없음” 배지 표시.
,,FS-ADMIN-QUIZ-STAT-03,부서별 평균 점수/참여율 테이블,,,부서 통계,"- 부서별 평균 점수를 막대그래프 등으로 표시한다.
- 응시자 비율(응시 인원/대상 인원)을 표로 보여준다.
- 특정 부서를 클릭하면 상세 화면으로 이동한다.","- 부서별 퀴즈 통계(평균 점수, 응시 인원, 대상 인원)",- 대상 인원이 0인 부서는 제외하거나 “대상 없음”으로 표시.
,,FS-ADMIN-QUIZ-STAT-04,문항별 난이도/정답률 분석,,,문항 분석,"- 각 문항별 정답률, 오답 패턴을 분석해 테이블로 표시한다.
- 난이도가 너무 쉬운/어려운 문제를 식별하는 지표로 사용한다.",- 문항별 응시/정답/오답 데이터,- 응시 수가 너무 적은 문항은 “분석 불충분”으로 표시.
,,FS-ADMIN-QUIZ-STAT-05,퀴즈 재응시 비율/패턴 통계,,,재응시 통계,"- 몇 %의 사용자가 2회 응시까지 갔는지, 첫 점수 대비 향상 정도를 분석한다.
- 교육 효과성을 보는 데 활용한다.","- 응시 이력(회차, 점수)
- 사용자ID",- 재응시가 없는 교육은 해당 섹션을 숨기거나 “재응시 데이터 없음” 표시.
,,FS-ADMIN-QUIZ-STAT-07,교육별 퀴즈 중도 포기율 분석,,,포기율 분석,"- 퀴즈를 시작했지만 제출하지 않은 비율을 계산한다.
- 중도 포기율이 높은 교육/부서를 찾아낸다.","- 응시 시작 로그
- 제출 로그","- 포기 여부 판단 기준(예: 시작 후 X시간 내 미제출)을 설정하고, 기준이 없으면 계산하지 않는다."
,,FS-ADMIN-QUIZ-STAT-08,교육별 퀴즈 생성 정책 관리,,퀴즈 관리,생성 정책 관리,"- 4대 교육 및 직무/부서별 교육마다 기본 퀴즈 생성 정책(문항 수, 난이도 비율, 제한 시간, 합격 기준, 재응시 허용 여부 등)을 설정·저장한다.
- 실제 문항 텍스트는 사전에 고정된 세트로 관리하지 않고, 응시 시점마다 현재 활성화된 생성 정책을 기준으로 LLM이 매번 새로운 문항을 생성한다.
- 관리자는 교육별로 서로 다른 생성 정책을 설정할 수 있으며, 정책 변경 시 이후 신규 응시부터 자동으로 반영된다.","- 교육ID(4대 교육, 직무교육, 부서별 교육 코드 등)
- 생성 정책 파라미터(문항 수, 난이도 분포, 제한 시간, 합격 기준 점수, 재응시 허용 횟수 등)
- 정책 활성/비활성 플래그",- 동시에 두 버전이 활성화되지 않도록 서버에서 제약한다.
,,FS-ADMIN-QUIZ-STAT-09,LLM 퀴즈 생성 프롬프트/룰 관리,,,프롬프트/룰 관리,"- 교육별로 LLM에 전달할 퀴즈 생성 프롬프트와 출제 룰(보기 형식, 정답 개수, 금지 표현, 회사 공식 답변 기준 등)을 관리한다.
- 관리자는 기존 교육의 프롬프트/룰을 복사해 다른 교육에 적용하거나, 일부 문구만 수정해 재사용할 수 있다.
- 프롬프트에는 예시 문항/정답 패턴을 포함할 수 있으며, 이를 통해 LLM이 생성하는 문항 스타일을 통제한다.
- 프롬프트가 비어 있거나 금지된 패턴(개인정보 요청, 회사 정책 위반 표현 등)이 포함된 경우 저장을 막고, 관리자에게 수정 사유를 안내한다.","- 교육ID
- 퀴즈 생성 프롬프트 텍스트(지시문, 제약 조건, 예시 문항 등)
- 프롬프트 템플릿ID(선택), 복사 원본 교육ID(선택)",- 복사 중 오류 시 새 세트 생성 롤백하고 에러 메시지 표시.
,,FS-ADMIN-QUIZ-STAT-10,LLM 기반 퀴즈 샘플 생성 및 검토,,,LLM 샘플 생성/검토,"- 관리자는 교육별로 현재 설정된 생성 정책과 프롬프트를 사용해 LLM에게 퀴즈 샘플 생성 요청을 보낼 수 있다.
- 생성된 샘플 문항들은 실제 응시용으로 고정 배포하지 않고, “샘플/검토용” 상태로만 저장하여 문항 품질을 눈으로 확인하는 데 사용한다.
- 관리자는 샘플 문항 목록에서 잘못된 표현, 난이도 불균형, 회사 정책과 맞지 않는 선택지 등을 체크해 코멘트를 남기고, 이를 바탕으로 생성 정책·프롬프트를 수정할 수 있다.
- 실제 직원 응시 시에는 매번 새로운 문항이 실시간 생성되지만, 샘플 생성 기능을 통해 사전에 출제 경향을 점검하고 튜닝할 수 있도록 한다.","- 교육 문서ID 또는 교육ID
- 현재 유효한 생성 정책 정보(문항 수, 난이도 등)
- 퀴즈 샘플 요청 파라미터(샘플 문항 수 등)
- LLM 응답(샘플 문항 목록, 정답/해설 포함)",- LLM 호출 실패 시 “퀴즈 자동 생성에 실패했습니다” 안내 + 수동 등록 유도.
,,FS-ADMIN-QUIZ-STAT-11,퀴즈 응시 이탈 지표 카드/그래프,,퀴즈 통계,이탈 지표 시각화,"- 퀴즈 응시 로그에 저장된 이탈 정보(이탈 횟수, 총 이탈 시간)를 기반으로, 퀴즈별·부서별 이탈 지표를 카드/그래프 형태로 시각화한다.
- 요약 카드에서는 선택한 기간 동안의 평균 이탈 횟수, 평균 이탈 시간, 이탈 기준(예: 3회 이상) 초과 응시자 비율 등을 한눈에 보여준다.
- 상세 그래프에서는 퀴즈별/부서별로 막대그래프·라인차트 등으로 이탈 지표를 비교하고, 마우스 오버 시 해당 값(응시자 수, 평균 이탈 횟수/시간)을 툴팁으로 표시한다.
- 기간, 부서, 퀴즈ID 필터를 제공하여 특정 부서·특정 퀴즈의 응시 집중도 패턴을 분석할 수 있게 하고, 필요 시 CSV 등으로 내보낼 수 있도록 설계한다.","- 퀴즈 응시 로그 집계 데이터(퀴즈ID, 부서, 응시자 수, 이탈 횟수 합계/평균, 이탈 시간 합계/평균 등)
- 통계 조회 필터(기간, 부서, 퀴즈ID, 이탈 기준 값)
- 시각화 구성 옵션(차트 타입, 정렬 기준 등)","- 집계 기간 내 응시 데이터가 부족할 경우(예: 응시자 수가 매우 적은 경우), 해당 지표에 '표본 부족' 또는 회색 표시를 추가하여 오해를 줄인다.
- 통계 쿼리 실패 시 “이탈 지표를 불러오지 못했습니다. 잠시 후 다시 시도해 주세요.” 안내 문구와 함께 빈 차트를 표시하고, 오류는 서버 로그에 남긴다.
- 개인정보·부서 정보 등 민감 데이터는 사내 보안 정책에 따라 익명화·집계 수준으로만 제공하고, 개별 응시자의 이탈 상세 내역은 별도 권한 없이 직접 조회할 수 없도록 한다."
,,FS-ADMIN-QUIZ-STAT-12,문항 품질 관리 탭(난이도·변별도 기반),,퀴즈 품질 관리,문항 품질 분석,"- 퀴즈 응시 로그를 기반으로 문항별 난이도 지수(정답률)와 변별도(상·하위 그룹 정답률 차이)를 계산하고, 이를 한 화면에서 확인할 수 있는 문항 품질 관리 탭을 제공한다.
- 각 문항에 대해 정답률, 변별도, 응시자 수, 사용자 이상 표시(플래그) 횟수, 마지막 사용 시각 등을 표 형태로 보여주고, 기준값(예: 난이도 < 0.2 또는 > 0.95, 변별도 < 0.1)을 초과/미달하는 문항은 색상 또는 아이콘으로 강조한다.
- 관리자는 품질이 좋지 않은 문항(너무 쉬운/어려운 문항, 변별도 낮은 문항, 플래그가 많은 문항)을 필터링해 목록으로 확인하고, 각 행에서 해당 교육의 퀴즈 생성 정책/프롬프트 편집 화면으로 바로 이동할 수 있다.
- 이 탭은 개별 문항을 직접 수정·삭제하기보다, 생성 정책·프롬프트를 조정하여 전체 출제 경향을 개선하는 ‘튜닝 허브’ 역할을 한다.","- 집계된 문항 통계 데이터(문항ID 또는 패턴ID, 정답률, 변별도, 응시자 수, 플래그 횟수, 마지막 사용 시각 등)
- 필터/정렬 조건(교육ID, 부서, 기간, 정답률 범위, 변별도 범위, 플래그 여부 등)
- 퀴즈 생성 정책/프롬프트 편집 링크 정보","- 응시 데이터가 부족해 신뢰할 수 있는 통계를 계산할 수 없는 문항은 ‘표본 부족’ 상태로 표시하고, 품질 기준 판단에서 제외한다.
- 통계 집계 쿼리 실패 시 “문항 품질 지표를 불러오지 못했습니다. 잠시 후 다시 시도해 주세요.” 안내 문구와 함께 빈 목록을 표시하며, 오류 상세는 서버 로그에 남긴다.
- 개인정보·민감정보는 사내 보안 정책에 따라 익명화·집계 수준으로만 제공하며, 관리자는 별도 권한 없이 개별 응시자의 정답/오답 내역을 직접 식별할 수 없도록 한다."
관리자 챗봇 대시보드,,FS-ADMIN-CHAT-DASH-01,도메인별 질문량/추세 차트,,챗봇 통계,도메인 통계,"- 교육/보안/신고/일반 도메인별 질문량을 일/주/월 단위로 보여준다.
- 트렌드 변화를 시각화한다.","- 질문 로그 집계 데이터(도메인, 날짜, 카운트)",- 데이터 없으면 빈 차트 + “데이터 없음” 표시.
,,FS-ADMIN-CHAT-DASH-02,부서별 질문량/Out-of-scope 비율,,,부서별 OOS 비율,"- 부서별 질문량과 Out-of-scope 비율을 표/차트로 보여준다.
- 특정 부서에 대한 추가 교육/안내 필요성을 판단한다.","- 질문 로그(부서, 도메인, OOS 플래그)",- 개인정보 보호를 위해 최소 인원 이하의 소규모 부서는 그룹화하거나 익명 처리할 수 있다.
,,FS-ADMIN-CHAT-DASH-03,인기 질문 TOP N 리스트,,,인기 질문 리스트,"- 기간 내 가장 많이 나온 질문 텍스트를 TOP N개 보여준다.
- 각 질문을 클릭하면 해당 세션/예시 몇 개를 확인할 수 있다.",- 질문 텍스트 집계 데이터,- 유사 질문 통합 로직이 실패하면 정확한 텍스트 기준으로만 집계한다.
,,FS-ADMIN-CHAT-DASH-04,민감 키워드 질문 모니터링,,,민감 질문 모니터링,"- 보안사고, 비인가 정보요청 등 민감 키워드가 포함된 질문 수를 모니터링한다. 
- 특정 임계치 이상이면 경고 배너/알림을 띄울 수 있다.","- 질문 로그 텍스트
 - 민감 키워드 리스트","- 키워드 리스트가 비어 있으면 이 위젯은 비활성화.
 - 과도한 키워드 사용으로 노이즈가 많을 경우 키워드 튜닝이 필요하다는 안내 메모."
,,FS-ADMIN-CHAT-DASH-05,평균 응답 시간/성공률 모니터링,,,성능 지표,"- LLM 응답 시간 평균, 타임아웃 비율, 오류 비율을 그래프로 보여준다.
- 외부 API/내부 모델별로 나눠볼 수 있다.","- 응답 로그(시작/종료시간, 성공/실패 플래그, 모델 종류)",- 로그 부족 시 “측정 기간 내 데이터 부족” 메시지 표시.
,,FS-ADMIN-CHAT-DASH-06,질문당 컨텍스트 길이/토큰 사용량 통계,,,토큰 사용량,"- 질문당 컨텍스트 길이, 요청/응답 토큰 수 평균을 집계한다.
- 비용 최적화 포인트를 찾아내는 데 사용한다.",- LLM 호출 로그(토큰 수 정보),- 일부 모델에서 토큰 정보가 안 들어오면 해당 모델은 집계에서 제외.
,,FS-ADMIN-CHAT-DASH-07,채팅 평가 점수와 질문량 상관관계 분석,,,상관 분석,"- 질문량이 많은 부서/도메인과 피드백 점수의 상관관계를 시각화한다.
- 품질 개선 우선순위를 정하는 근거로 사용한다.","- 피드백 점수
 - 질문량 통계
 - 부서/도메인 정보",- 상관계수 계산에 필요한 데이터가 부족하면 “분석 불충분”으로 표시.
관리자 권한 대시보드,,FS-ADMIN-USER-01,사용자 역할/영상 제작 권한 설정,관리자,사용자 관리,사용자 상세,"1. 관리자가 역할 및 제작자 유형/범위를 선택 후 [저장] 버튼 클릭.
2. 서버는 입력값 유효성 검증:
 - 최소 하나의 기본 역할(EMPLOYEE 등)이 있어야 함.
 - VIDEO_CREATOR 체크 시 creator_type과 dept_scope 필수.
3. 정상인 경우:
 - user_role, creator_scope 테이블에 값 저장/갱신.
 - 이전 값과 변경 값을 role_audit_log에 기록.
4. 응답 성공 시 화면에 성공 메시지 표시.","- 사용자 기본 정보(읽기 전용): 이름, 사번, 소속 부서(dept_code)
- 역할 체크박스: EMPLOYEE, VIDEO_CREATOR, VIDEO_REVIEWER, REPORT_MANAGER, ADMIN
- 영상 제작자 유형 라디오 버튼:
  - 부서 한정 제작자(DEPT_CREATOR)
  - 전사 담당 제작자(GLOBAL_CREATOR)
- 제작 가능 부서 멀티 선택:
  - DEPT_CREATOR: 기본값으로 소속 부서 1개만 세팅, 필요 시 추가 부서 허용 여부는 정책에 따름
  - GLOBAL_CREATOR: 전체 부서 목록 및 “전사 공통(ALL)” 선택 가능
- 저장 버튼 / 취소 버튼","- 관리자 권한 없음: HTTP 403, “권한이 없습니다.”
- 소속 부서와 완전히 무관한 dept_scope 지정 시 정책에 따라 경고/차단 가능(예: 부서장 승인 필요 등)."
,,FS-VIDEO-CREATE-01,교육영상 기본정보 및 대상 부서 입력,,교육관리,교육영상 생성,"1. 페이지 진입 시 서버에서 현재 사용자 정보 조회:
 - role, creator_type(DEPT/GLOBAL), dept_scope.
2. 교육 유형 필드 구성:
 - DEPT_CREATOR → JOB만 선택 가능
 - GLOBAL_CREATOR → MANDATORY, JOB 모두 선택 가능
3. 교육 대상 부서 필드 구성:
 - DEPT_CREATOR → dept_scope 내 부서만 노출(기본은 소속 부서)
 - GLOBAL_CREATOR → 전체 부서 목록 + “전사 공통(ALL)”
4. 사용자가 필수 정보 입력 후 [다음] 또는 [저장] 클릭 시,
 - 입력값을 FS-VIDEO-CREATE-SEC-01로 전달.","- 교육 유형(training_type): 4대교육(MANDATORY) / 직무교육(JOB)
- 교육 제목, 설명, 필수/선택 여부
- 교육 대상 부서(target_dept_code)
- (기타 기존 필드: 문서 업로드, 태그, 예상 시청 시간 등)"," - 권한 없음(ROLE_VIDEO_CREATOR 아님) → 접근 차단/리다이렉트.
- 서버에서 내려준 allowedTrainingTypes/allowedDeptCodes 외 값은 UI에서 선택 불가."
,,,,,,,,,
,,,,,,,,,
마이페이지,,FS-MYPAGE-01,나의 교육 이수 현황 요약,직원,마이페이지,교육 요약,"- 사용자의 4대 교육 이수율(영상+퀴즈)/직무교육 이수율(영상)을 요약 카드 형태로 보여준다.
- 미이수 과목/교육은 강조 표시한다.","- 사용자ID
 - 교육 이수 테이블",- 데이터 조회 실패 시 “이수 현황을 불러오지 못했습니다” 안내.
,,FS-MYPAGE-02,교육별 이수 이력 타임라인,,,이수 타임라인,- 각 교육별로 언제 이수했는지 타임라인 형태로 정렬해서 보여준다.,"- 이수 이력 데이터(교육ID, 이수일자, 회차 등)",- 이력이 없으면 “아직 이수 내역이 없습니다” 안내.
,,FS-MYPAGE-03,나의 퀴즈 응시 내역/최고 점수 보기,,,퀴즈 이력,"- 응시한 퀴즈 목록, 점수, 통과 여부를 테이블로 보여준다.
- 교육별 최고 점수만 별도 강조한다.",- 퀴즈 응시 이력 데이터,- 기록이 없으면 “응시 이력이 없습니다” 메시지 표시.
,,FS-MYPAGE-04,오답노트 바로가기 링크,,,오답노트 링크,- 각 퀴즈 이력 옆에 “오답노트 보기” 링크를 제공해 해당 응시의 오답 화면으로 바로 이동할 수 있다.,- 응시ID,- 오답 데이터가 없으면 링크를 비활성화하고 안내 툴팁을 표시.
,,FS-MYPAGE-05,나에게 필요한 필수 교육/마감일 안내,,,필수 교육 안내,"- 아직 이수하지 않은 필수 교육과 마감 예정일을 리스트로 보여준다.
- 링크 클릭 시 해당 교육 상세/영상 재생 화면으로 이동한다.","- 필수 교육 설정
 - 사용자 이수 현황",- 마감일 정보가 없는 교육은 “상시 교육” 등으로 표시.
,,FS-MYPAGE-06,내 역할/권한 조회,,,역할/권한 정보,"- 현재 사용자에게 부여된 역할(직원/관리자/영상제작자 등)을 태그 형태로 보여준다.
- 각 역할로 사용 가능한 메뉴를 간단히 설명한다.",- 세션/토큰 내 역할 정보,"- 보안 상 세부 권한 정보는 요약 수준에서만 노출하고, 상세는 관리자만 조회 가능."
,,FS-MYPAGE-07,알림 설정(메일/푸시 on/off),,,알림 설정,"- 교육 마감 알림, 새 교육 생성 알림 등을 메일/푸시로 받을지 여부를 설정할 수 있다.
- 종류별로 on/off 스위치를 제공한다.",- 사용자 선택 설정(각 알림 타입별 플래그),- 회사 정책상 필수 알림(예: 법정교육 마감)은 off로 바꿀 수 없도록 제약.
,,FS-MYPAGE-08,개인정보/로그 보관 정책 안내,,,정책 안내,"- 채팅 로그/교육 이력/퀴즈 이력의 보관 기간과 활용 용도에 대한 안내를 제공한다.
- 개인정보 처리방침 링크를 함께 제공한다.",- 정책 텍스트(관리자 등록),- 정책 텍스트 로딩 실패 시 “정책 정보를 불러오지 못했습니다” 안내 및 별도 링크 제공(웹사이트 등).
,,FS-MYPAGE-09,내 신고 이력 요약(선택 기능),,,신고 이력 요약,"- 사용자가 본인 이름으로 제출한 신고의 상태 요약을 볼 수 있다.
- 각 신고의 진행상태(접수/조사중/종결)를 표시한다.","- 신고 테이블(신고자ID, 상태 등)","- 보안 정책상 직원에게 신고 이력 노출 불가라면, 이 기능은 비활성화 상태로 유지."
알림/공지,,FS-NOTI-01,교육 마감 임박 알림 생성,시스템,알림,교육 마감 알림,"- 필수 교육의 마감일을 기준으로 일정 일수 전(예: 7일/3일)에 알림을 생성한다.
- 대상자를 필터링해 알림 큐에 등록한다.","- 교육 마감일
 - 이수 여부 데이터","- 마감일이 없는 교육은 대상에서 제외.
 - 큐 등록 실패 시 재시도 후 실패 로그 기록."
,,FS-NOTI-02,새 교육/새 영상 업로드 알림,시스템,알림,새 교육 알림,- 새 4대 교육 영상 또는 부서 직무교육 영상이 업로드/승인되면 관련 부서 직원에게 알림을 발송한다.,"- 새 교육/영상 메타데이터
 - 대상 부서/직원 목록","- 대상자가 너무 많을 경우 배치/묶음 전송으로 나누어 발송, 실패 시 재시도."
,,FS-NOTI-03,알림 채널(메일/내부 알림 센터) 분기,,,채널 분배,"- 각 사용자의 알림 설정에 따라 메일 또는 서비스 내 알림 센터 또는 둘 다로 보낸다.
- 중복 발송을 막기 위한 처리 포함.","- 사용자 알림 설정
 - 알림 내용","- 채널별 전송 실패 시 다른 채널로만 보내거나, 실패 로그만 기록(정책에 따라)."
,,FS-NOTI-04,알림 센터 UI(읽음/안읽음 표시),공통,알림,알림 센터 UI,"- 상단 헤더에 알림 아이콘을 두고, 클릭 시 최근 알림 리스트를 드롭다운/패널로 보여준다.
- 읽음/안읽음 상태를 점 또는 강조로 표시한다.","- 사용자ID
 - 알림 테이블 데이터",- 알림 데이터 없으면 “새 알림이 없습니다” 표시.
,,FS-NOTI-05,알림 읽음 처리/전체 읽음,,,읽음 처리,"- 알림 항목 클릭 시 읽음 상태로 변경한다.
- “전체 읽음” 버튼을 제공해 한 번에 읽음 처리할 수 있다.","- 알림ID 리스트
 - 읽음 플래그","- 읽음 처리 중 오류 발생 시 UI에는 읽음 표시를 되돌리고, 오류 토스트를 보여준다."
,,FS-NOTI-06,알림 히스토리 페이지,,,알림 히스토리,"- 최근 N일 내 받은 알림 전체를 확인할 수 있는 히스토리 페이지를 제공한다.
- 교육/퀴즈/신고/시스템 알림 등 유형별 필터를 지원한다.","- 사용자ID
 - 기간/유형 필터","- 오래된 알림 보관 정책(예: 6개월 이후 자동 삭제)을 적용하고, 삭제된 알림은 히스토리에 표시하지 않는다."
,,FS-NOTI-07,관리자 공지 등록/상단 배너,관리자,공지,공지 등록,"- 관리자가 전체 직원에게 보여줄 공지를 등록할 수 있다.
- 중요한 공지는 상단 배너 형태로 노출할 수 있다.","- 공지 제목/내용
 - 우선순위/노출 기간",- 노출 기간이 지난 공지는 자동으로 숨김 처리.
시스템 모니터링,,FS-SYS-MON-01,LLM 호출 성공/실패율 모니터링,시스템,모니터링,LLM 성공률,- 모델별(L1/L2/외부 API) LLM 호출 성공/실패 횟수를 집계해 관리자용 화면에 제공한다.,"- LLM 호출 로그(성공/실패 플래그, 모델 종류)","- 데이터 없으면 0으로 반환.
 - 심각한 실패율 증가 시 별도 경고 알림 기능과 연동 가능."
,,FS-SYS-MON-02,RAG 파이프라인 단계별 실패율 모니터링,,,RAG 단계 실패율,"- 전처리/임베딩/검색/응답 생성 각 단계별 실패 건수를 집계한다.
- 어느 단계에서 문제가 많은지 한눈에 볼 수 있다.",- 단계별 에러 로그,"- 로그 포맷이 바뀌었을 경우 집계가 안 될 수 있으며, 이 경우 모니터링 대시보드에 경고 표시."
